y,metric,model,layer,layer_idx,horizon,aggregation,fold,rsquared,rsquared_adj,aic,bic,delta_rsquared,delta_rsquared_adj,delta_rsquared_aic,delta_rsquared_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,4,4,10,mean,full,0.24976072362614898,0.24973999448954953,2844956.374728891,2845051.559447262,0.011778618096893512,0.011776311654355665,-4508.5503550497815,-4497.974275230896,313595748.6622538,4923395.344156146,0.0
meanItemRT,Information value,gpt2_small,5,5,1,mean,full,0.24202709603076666,0.24200615321377494,2847925.829281517,2848021.0139998877,0.004044990501511192,0.004042470378581076,-1539.09580242401,-1528.5197226051241,316828360.9927771,1690783.013632834,0.0
meanItemRT,Information value,gpt2_small,5,5,2,mean,full,0.24309442345553034,0.2430735101288315,2847517.8181524044,2847613.0028707753,0.0051123179262748675,0.0051098272936376254,-1947.1069315364584,-1936.5308517175727,316382224.2023197,2136919.8040902615,0.0
meanItemRT,Information value,gpt2_small,5,5,3,mean,full,0.24336581341934527,0.24334490759116034,2847413.981179783,2847509.165898154,0.005383707890089795,0.005381224755966474,-2050.943904157728,-2040.3678243388422,316268784.74165416,2250359.2647557855,0.0
meanItemRT,Information value,gpt2_small,5,5,4,mean,full,0.24377277864863955,0.24375188406491766,2847258.201704667,2847353.386423038,0.005790673119384082,0.005788201229723788,-2206.723379273899,-2196.147299455013,316098675.5914416,2420468.4149683714,0.0
meanItemRT,Information value,gpt2_small,5,5,5,mean,full,0.2443330582856672,0.2443121791824907,2847043.598830999,2847138.78354937,0.006350952756411732,0.006348496347296839,-2421.3262529419735,-2410.7501731230877,315864481.89115554,2654662.115254402,0.0
meanItemRT,Information value,gpt2_small,5,5,6,mean,full,0.24504687315807427,0.24502601377762678,2846769.957030326,2846865.141748697,0.007064767628818802,0.007062330942432915,-2694.9680536147207,-2684.391973795835,315566111.3360965,2953032.670313418,0.0
meanItemRT,Information value,gpt2_small,5,5,7,mean,full,0.2458657412735995,0.24584490451850582,2846455.724111106,2846550.9088294767,0.00788363574434403,0.007881221683311956,-3009.2009728350677,-2998.624893016182,315223829.12316716,3295314.883242786,0.0
meanItemRT,Information value,gpt2_small,5,5,8,mean,full,0.24678146747381158,0.24676065602026376,2846103.918429346,2846199.1031477167,0.008799361944556106,0.00879697318506989,-3361.006654595025,-3350.430574776139,314841060.7819612,3678083.2244487405,0.0
meanItemRT,Information value,gpt2_small,5,5,9,mean,full,0.2477797104881465,0.247758926616087,2845719.92367026,2845815.1083886307,0.009797604958891037,0.009795243780893137,-3745.0014136810787,-3734.425333862193,314423800.8819727,4095343.1244372725,0.0
meanItemRT,Information value,gpt2_small,5,5,10,mean,full,0.24887250060122934,0.2488517469229976,2845298.9747154936,2845394.1594338645,0.010890395071973868,0.01088806408780374,-4165.950368447229,-4155.3742886283435,313967020.8326806,4552123.17372936,0.0
meanItemRT,Information value,gpt2_small,6,6,1,mean,full,0.24204079210026475,0.24201984966169587,2847920.597275184,2848015.781993555,0.0040586865710092734,0.004056166826502006,-1544.327808756847,-1533.7517289379612,316822636.11365753,1696507.892752409,0.0
meanItemRT,Information value,gpt2_small,6,6,2,mean,full,0.24305423932964754,0.24303332489265994,2847533.1899041664,2847628.3746225373,0.005072133800392065,0.005069642057466073,-1931.7351797744632,-1921.1590999555774,316399020.938291,2120123.06811893,0.0
meanItemRT,Information value,gpt2_small,6,6,3,mean,full,0.24328117679813033,0.24326026863143269,2847446.3681363333,2847541.552854704,0.005299071268874855,0.005296585796238817,-2018.556947607547,-2007.9808677886613,316304162.36773956,2214981.638670385,0.0
meanItemRT,Information value,gpt2_small,6,6,4,mean,full,0.24361960443142783,0.24359870561549712,2847316.8440665277,2847412.0287848986,0.005637498902172355,0.005635022780303256,-2148.0810174131766,-2137.504937594291,316162701.54267466,2356442.4637352824,0.0
meanItemRT,Information value,gpt2_small,6,6,5,mean,full,0.2440978632387366,0.244076977637113,2847133.704526027,2847228.889244398,0.00611575770948114,0.0061132948019191335,-2331.22055791365,-2320.644478094764,315962792.08251256,2556351.9238973856,0.0
meanItemRT,Information value,gpt2_small,6,6,6,mean,full,0.24471762504505845,0.24469675656747447,2846896.20682815,2846991.391546521,0.006735519515802979,0.006733073732280603,-2568.718255790882,-2558.142175971996,315703735.17391515,2815408.8324947953,0.0
meanItemRT,Information value,gpt2_small,6,6,7,mean,full,0.24542096743349195,0.245400118389282,2846626.444187723,2846721.628906094,0.007438861904236482,0.007436435554088128,-2838.4808962177485,-2827.9048163988627,315409742.0575686,3109401.9488413334,0.0
meanItemRT,Information value,gpt2_small,6,6,8,mean,full,0.24615329508746442,0.2461324662774923,2846345.2970934454,2846440.4818118163,0.008171189558208947,0.008168783442298433,-3119.6279904954135,-3109.0519106765278,315103633.265153,3415510.7412569523,0.0
meanItemRT,Information value,gpt2_small,6,6,9,mean,full,0.2469103828017235,0.24688957491011054,2846054.357116961,2846149.541835332,0.008928277272468033,0.008925892074916675,-3410.5679669799283,-3399.9918871610425,314787174.90842235,3731969.097987592,0.0
meanItemRT,Information value,gpt2_small,6,6,10,mean,full,0.2477211380123352,0.24770035252191624,2845742.4688498825,2845837.6535682534,0.009739032483079724,0.009736669686722377,-3722.456234058365,-3711.8801542394795,314448283.84358436,4070860.1628255844,0.0
meanItemRT,Information value,gpt2_small,7,7,1,mean,full,0.24203433663257368,0.24201339401564004,2847923.0633264463,2848018.2480448172,0.004052231103318205,0.004049711180446169,-1541.8617574945092,-1531.2856776756234,316825334.4624208,1693809.543989122,0.0
meanItemRT,Information value,gpt2_small,7,7,2,mean,full,0.24310801728691156,0.24308710433581082,2847512.617879429,2847607.8025978,0.0051259117576560875,0.005123421500616954,-1952.307204511948,-1941.7311246930622,316376542.05815125,2142601.948258698,0.0
meanItemRT,Information value,gpt2_small,7,7,3,mean,full,0.24335532625411727,0.24333442013617157,2847417.9943835526,2847513.1791019235,0.005373220724861794,0.0053707373009777015,-2046.9307003882714,-2036.3546205693856,316273168.3170475,2245975.6893624663,0.0
