y,metric,model,aggregation,dist_metric,fold,loglik,delta_loglik,rsquared,delta_rsquared,rsquared_adj,delta_rsquared_adj,aic,bic,anova_p_vs_baseline,anova_p_ias_vs_surprisal,anova_p_surprisal_vs_ias,anova_p_both_vs_ias,anova_p_both_vs_surprisal
cloze_p_smoothed,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,full,0.7310686791433456,0.4910394450984156,0.6991797140127918,0.5023702131592481,0.6681462959553764,0.474639840334786,-1867.4933672482894,-1137.432949470659,1.088987884603979e-203,,,9.28215976617365e-06,5.0642427959071754e-111
cloze_p_smoothed,IAS (min),gpt2_medium,Smin,cosine_std,full,0.4115029903912251,0.17147375634629505,0.42999541342274084,0.23318591256919718,0.3716653729603576,0.1781589173397672,-932.526767827072,-207.75664293188834,4.1994469108486293e-41,1.0,,,
cloze_p_smoothed,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,full,0.5030766561197285,0.2630474220747985,0.5253882620645818,0.32857876121103813,0.4764260571721478,0.2829196015515574,-1199.020755743044,-468.9603379654136,4.74732797512292e-84,,,8.172473306274865e-55,5.74158701881221e-09
cloze_p_smoothed,Surprisal,gpt2_large,,,full,0.414357568422894,0.17432833437796394,0.4332403867208299,0.23643088586728622,0.43051931861866644,0.237012862998076,-1198.8963906159252,-1156.5740475563523,1.584515060176313e-112,,,,
cloze_p_smoothed,IAS (mean),gpt2_large,Smean,cosine_std,full,0.758944562334532,0.518915328289602,0.7154920310519324,0.5186825301983887,0.6863775963063061,0.4928711406857157,-1951.2254567648479,-1226.4553318696642,1.645729005445109e-219,1.8070417621679566e-126,,,
cloze_p_smoothed,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,full,0.7635527685980269,0.5235235345530969,0.7181021275224717,0.5212926266689281,0.6890207957985098,0.4955143401779194,-1962.7367175294148,-1232.6762997517844,2.163660000619543e-221,,,0.0004690657169744833,2.292340005765995e-128
cloze_p_smoothed,IAS (min),gpt2_large,Smin,cosine_std,full,0.40017614186766215,0.16014690782273208,0.4169353311498508,0.22012583029630717,0.35726881876187466,0.16376236314128423,-899.3164479559855,-174.5463230608018,3.714765151368531e-36,1.0,,,
cloze_p_smoothed,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,full,0.49149800034933677,0.25146876630440673,0.514269284256889,0.31745978340334535,0.464160016141824,0.27065356052123357,-1165.0721370242554,-435.01171924662503,2.478679856786988e-78,,,1.143198637810831e-54,4.3672240922163805e-06
cloze_p_smoothed,Surprisal,gpt2_xl,,,full,0.4196555344077932,0.17962630036286312,0.43921402898267947,0.24240452812913582,0.4365216409188103,0.24301518529821986,-1214.4300268836496,-1172.1076838240767,6.915499878244452e-116,,,,
cloze_p_smoothed,IAS (mean),gpt2_xl,Smean,cosine_std,full,0.7719980380937281,0.5319688040487981,0.7228235486082357,0.5260140477546921,0.6944593669759709,0.5009529113553804,-1989.4982476908108,-1264.728122795627,1.1785962173799234e-226,1.5989349184775943e-130,,,
cloze_p_smoothed,Surprisal + IAS (mean),gpt2_xl,Smean,cosine_std,full,0.7782059753676283,0.5381767413226982,0.7262436608786733,0.5294341600251297,0.698002231315705,0.5044957756951146,-2005.699919777886,-1275.6395020002556,2.075452805708936e-229,,,4.911204674667146e-05,2.9396929890719562e-133
