y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p,ias_coef
meanItemRT,Information value,gpt2_small,6,6,5,mean,cosine_std,full,-4.927606720914632,0.22706643891163503,0.22704775231827656,2853583.1968682217,2853667.8055067738,0.010718833727389132,0.01674877858360213,0.01674645608953851,-6205.255173863377,-6194.679094044492,323081830.5424245,7000894.14738363,0.0,146.24916212920604
meanItemRT,Information value,gpt2_small,6,6,6,mean,cosine_std,full,-4.928065538233376,0.22635684277839752,0.2263381390297038,2853848.897059872,2853933.505698424,0.010260016408644823,0.01603918245036462,0.016036842800965734,-5939.554982213303,-5928.978902394418,323378437.68851525,6704287.001292884,0.0,150.8341960902442
meanItemRT,Information value,gpt2_small,6,6,7,mean,cosine_std,full,-4.928305087666928,0.22598610241455985,0.2259673897027743,2853987.619657743,2854072.228296295,0.010020466975093179,0.015668442086526957,0.015666093474036247,-5800.832384342328,-5790.256304523442,323533405.0510865,6549319.638721645,0.0,157.74301606468143
meanItemRT,Information value,gpt2_small,6,6,8,mean,cosine_std,full,-4.928472694225547,0.22572659931123573,0.22570788032565225,2854084.6802806254,2854169.2889191774,0.009852860416474485,0.015408938983202836,0.0154065840969142,-5703.771761459764,-5693.195681640878,323641875.8717031,6440848.818105042,0.0,165.3084201295037
meanItemRT,Information value,gpt2_small,6,6,9,mean,cosine_std,full,-4.928479210259562,0.22571650886184014,0.22569778963230802,2854088.4537028917,2854173.0623414437,0.009846344382459016,0.015398848533807241,0.015396493403569966,-5699.998339193407,-5689.422259374522,323646093.6221358,6436631.067672312,0.0,173.46885890315409
meanItemRT,Information value,gpt2_small,6,6,10,mean,cosine_std,full,-4.92847940057274,0.22571621414910492,0.22569749491244773,2854088.563912872,2854173.1725514242,0.009846154069281354,0.015398553821072025,0.015396198683709672,-5699.888129212894,-5689.312049394008,323646216.8103822,6436507.879425943,0.0,180.95341490933265
meanItemRT,Information value,gpt2_small,7,7,1,mean,cosine_std,full,-4.929161038874812,0.22465993133968487,0.2246411865661273,2854483.299290326,2854567.907928878,0.00916451576720867,0.014342271011651975,0.01433989033738925,-5305.15275175916,-5294.5766719402745,324087737.01446986,5994987.675338268,0.0,146.48547655004373
meanItemRT,Information value,gpt2_small,7,7,2,mean,cosine_std,full,-4.911380025590437,0.25174808591461195,0.2517299960295919,2844186.3500593705,2844270.9586979225,0.026945529051584316,0.041430425586579056,0.04142869980085384,-15602.101982714608,-15591.525902895723,312765042.53376913,17317682.156039,0.0,243.8865806809381
meanItemRT,Information value,gpt2_small,7,7,3,mean,cosine_std,full,-4.921869466118776,0.23588478263241164,0.2358663092330604,2850260.7640904505,2850345.3727290025,0.016456088523245427,0.025567122304378742,0.025565013004322346,-9527.687951634638,-9517.111871815752,319395813.0435219,10686911.64628625,0.0,181.83686177461357
meanItemRT,Information value,gpt2_small,7,7,4,mean,cosine_std,full,-4.926742657548434,0.22840101257257472,0.22838235824413078,2853082.819500983,2853167.4281395352,0.01158289709358673,0.018083352244541828,0.018081062015392724,-6705.632541101892,-6695.056461283006,322523986.34587675,7558738.343931377,0.0,150.24997846653693
meanItemRT,Information value,gpt2_small,7,7,5,mean,cosine_std,full,-4.928357106112213,0.22590557222648278,0.2258868575677836,2854017.7434353707,2854102.3520739228,0.009968448529807716,0.01558791189844988,0.01558556133904554,-5770.708606714383,-5760.132526895497,323567066.21148586,6515658.4783222675,0.0,142.95946776135986
meanItemRT,Information value,gpt2_small,7,7,6,mean,cosine_std,full,-4.929003666398063,0.2249039273131721,0.22488518843850913,2854392.1652037855,2854476.7738423375,0.009321888243958298,0.014586266985139207,0.014583892209771077,-5396.286838299595,-5385.710758480709,323985748.08588946,6096976.603918672,0.0,144.11402629696633
meanItemRT,Information value,gpt2_small,7,7,7,mean,cosine_std,full,-4.929396888640469,0.22429411752231365,0.22427536390476954,2854619.8794179186,2854704.4880564706,0.008928666001551733,0.013976457194280756,0.013974067676031487,-5168.572624166496,-5157.99654434761,324240645.10865015,5842079.581157982,0.0,147.83807139673956
